finetune_split,pretrain_id,finetune_id,same_id,labels_equal,pretrain_cache,finetune_cache
train,00096370,00096370,true,false,data/cache/features/pretrain/00096370_b440cfaf1a.npz,data/cache/features/finetune/train/00096370_b440cfaf1a.npz
train,00096443,00096443,true,false,data/cache/features/pretrain/00096443_f37c517cab.npz,data/cache/features/finetune/train/00096443_f37c517cab.npz
train,00096468,00096468,true,false,data/cache/features/pretrain/00096468_6f98792dd5.npz,data/cache/features/finetune/train/00096468_6f98792dd5.npz
train,00096658,00096658,true,false,data/cache/features/pretrain/00096658_808481448d.npz,data/cache/features/finetune/train/00096658_808481448d.npz
train,00096771,00096771,true,false,data/cache/features/pretrain/00096771_8f2cc3c89c.npz,data/cache/features/finetune/train/00096771_8f2cc3c89c.npz
train,00096806,00096806,true,false,data/cache/features/pretrain/00096806_57d164d089.npz,data/cache/features/finetune/train/00096806_57d164d089.npz
train,00199366,00097073,false,false,data/cache/features/pretrain/00199366_aa5e37910e.npz,data/cache/features/finetune/train/00097073_6e060ca8f4.npz
train,00085100,00098270,false,false,data/cache/features/pretrain/00085100_67001f2ab0.npz,data/cache/features/finetune/train/00098270_035c2746d7.npz
train,00100723,00100723,true,true,data/cache/features/pretrain/00100723_56b66c1bf6.npz,data/cache/features/finetune/train/00100723_56b66c1bf6.npz
train,00103849,00103885,false,false,data/cache/features/pretrain/00103849_9c0a025520.npz,data/cache/features/finetune/train/00103885_bd05562b22.npz
train,00095799,00104450,false,false,data/cache/features/pretrain/00095799_6526a6acaa.npz,data/cache/features/finetune/train/00104450_ca6c406e01.npz
train,00009873,00109222,false,false,data/cache/features/pretrain/00009873_5612e7f765.npz,data/cache/features/finetune/train/00109222_b9a90a7432.npz
train,00071480,00111836,false,true,data/cache/features/pretrain/00071480_03a4bd8ba2.npz,data/cache/features/finetune/train/00111836_2f767d2aa7.npz
train,00116677,00116677,true,false,data/cache/features/pretrain/00116677_74cc14b7a2.npz,data/cache/features/finetune/train/00116677_74cc14b7a2.npz
train,00116854,00116854,true,false,data/cache/features/pretrain/00116854_9418208989.npz,data/cache/features/finetune/train/00116854_9418208989.npz
train,00110116,00117364,false,false,data/cache/features/pretrain/00110116_0db09422b5.npz,data/cache/features/finetune/train/00117364_36b59d7c68.npz
train,00119530,00119530,true,false,data/cache/features/pretrain/00119530_f2815d6f17.npz,data/cache/features/finetune/train/00119530_f2815d6f17.npz
train,00056871,00121354,false,false,data/cache/features/pretrain/00056871_512568d018.npz,data/cache/features/finetune/train/00121354_f9003fda4c.npz
train,00009891,00122067,false,false,data/cache/features/pretrain/00009891_f508270328.npz,data/cache/features/finetune/train/00122067_ce27039807.npz
train,00000485,00122957,false,false,data/cache/features/pretrain/00000485_bb2a366f05.npz,data/cache/features/finetune/train/00122957_45a6282486.npz
train,00049902,00248290,false,false,data/cache/features/pretrain/00049902_a9c7f33f7c.npz,data/cache/features/finetune/train/00248290_c762a96ab7.npz
train,00110967,00250164,false,false,data/cache/features/pretrain/00110967_6e8644e930.npz,data/cache/features/finetune/train/00250164_de1d04ee6c.npz
train,00251454,00251588,false,false,data/cache/features/pretrain/00251454_dc2f57f4d1.npz,data/cache/features/finetune/train/00251588_1cfe3174a4.npz
train,00223166,00252993,false,false,data/cache/features/pretrain/00223166_1c81729c2f.npz,data/cache/features/finetune/train/00252993_6fea60e1f8.npz
train,00021620,00253182,false,false,data/cache/features/pretrain/00021620_d18c395168.npz,data/cache/features/finetune/train/00253182_be8857b4be.npz
train,00276661,00277079,false,true,data/cache/features/pretrain/00276661_177b78da57.npz,data/cache/features/finetune/train/00277079_e9a8a98ccb.npz
train,00282828,00283250,false,true,data/cache/features/pretrain/00282828_5069388279.npz,data/cache/features/finetune/train/00283250_a418469425.npz
train,00061756,00291954,false,false,data/cache/features/pretrain/00061756_463972eb81.npz,data/cache/features/finetune/train/00291954_46e23b1036.npz
train,00243323,00292891,false,false,data/cache/features/pretrain/00243323_85b00227e3.npz,data/cache/features/finetune/train/00292891_92a27edc40.npz
train,00197556,00294576,false,false,data/cache/features/pretrain/00197556_1e96f81ada.npz,data/cache/features/finetune/train/00294576_dbbd166a40.npz
train,00052701,00294806,false,true,data/cache/features/pretrain/00052701_3f8dea0364.npz,data/cache/features/finetune/train/00294806_cfb4d634dc.npz
train,00293587,00295304,false,false,data/cache/features/pretrain/00293587_940f997982.npz,data/cache/features/finetune/train/00295304_04f041db03.npz
train,00239303,00295402,false,false,data/cache/features/pretrain/00239303_5f4ca40f3a.npz,data/cache/features/finetune/train/00295402_d199898946.npz
train,00305748,00310462,false,false,data/cache/features/pretrain/00305748_3d586a57ee.npz,data/cache/features/finetune/train/00310462_380255ac30.npz
train,00197522,00312825,false,false,data/cache/features/pretrain/00197522_61c6069621.npz,data/cache/features/finetune/train/00312825_5f9830c52e.npz
train,00268332,00313211,false,false,data/cache/features/pretrain/00268332_901a4404d8.npz,data/cache/features/finetune/train/00313211_5468eb3f3f.npz
train,00298710,00313239,false,false,data/cache/features/pretrain/00298710_baf4918283.npz,data/cache/features/finetune/train/00313239_8593eb5e2d.npz
train,00268330,00313728,false,false,data/cache/features/pretrain/00268330_08b3927203.npz,data/cache/features/finetune/train/00313728_dda4b34f93.npz
train,00291946,00317231,false,false,data/cache/features/pretrain/00291946_3442151b69.npz,data/cache/features/finetune/train/00317231_2e19c93a3f.npz
train,00237628,00318545,false,false,data/cache/features/pretrain/00237628_9cf24600f7.npz,data/cache/features/finetune/train/00318545_b1b47e045b.npz
train,00313823,00323702,false,true,data/cache/features/pretrain/00313823_57827c0bd5.npz,data/cache/features/finetune/train/00323702_b4654dcac4.npz
train,00125638,00329370,false,false,data/cache/features/pretrain/00125638_c36e1e130b.npz,data/cache/features/finetune/train/00329370_b92051864d.npz
train,00219608,00333911,false,false,data/cache/features/pretrain/00219608_31eae9eece.npz,data/cache/features/finetune/train/00333911_9c360e38c9.npz
train,00327524,00342138,false,true,data/cache/features/pretrain/00327524_b6cdc35405.npz,data/cache/features/finetune/train/00342138_21f408c075.npz
train,00052376,00348230,false,false,data/cache/features/pretrain/00052376_c45ff6ee13.npz,data/cache/features/finetune/train/00348230_4de985f33e.npz
train,00076988,00350809,false,false,data/cache/features/pretrain/00076988_c722f59f12.npz,data/cache/features/finetune/train/00350809_0f00dfba50.npz
train,00117777,00352573,false,false,data/cache/features/pretrain/00117777_22260dedc2.npz,data/cache/features/finetune/train/00352573_49f5a11feb.npz
train,00282833,00355679,false,false,data/cache/features/pretrain/00282833_946520f3a6.npz,data/cache/features/finetune/train/00355679_96446fac00.npz
train,00357010,00357059,false,false,data/cache/features/pretrain/00357010_a689b3ac19.npz,data/cache/features/finetune/train/00357059_9dc89bd2e3.npz
train,00114882,00374680,false,false,data/cache/features/pretrain/00114882_43cc315d2e.npz,data/cache/features/finetune/train/00374680_da4b5c8488.npz
train,00170021,00375061,false,false,data/cache/features/pretrain/00170021_2dffc7e750.npz,data/cache/features/finetune/train/00375061_2beca29952.npz
train,00353568,00375429,false,false,data/cache/features/pretrain/00353568_d257739d86.npz,data/cache/features/finetune/train/00375429_b2a83cec5e.npz
train,00384621,00385491,false,true,data/cache/features/pretrain/00384621_4ad7f6bd34.npz,data/cache/features/finetune/train/00385491_8d57c19131.npz
train,00575918,00386209,false,false,data/cache/features/pretrain/00575918_232b10958d.npz,data/cache/features/finetune/train/00386209_c0557f6423.npz
train,00379072,00387517,false,false,data/cache/features/pretrain/00379072_eec280c674.npz,data/cache/features/finetune/train/00387517_e1d493506f.npz
train,00319130,00390138,false,false,data/cache/features/pretrain/00319130_4dc3fc3e39.npz,data/cache/features/finetune/train/00390138_d559fd5559.npz
train,00294773,00392208,false,true,data/cache/features/pretrain/00294773_2afbea9e30.npz,data/cache/features/finetune/train/00392208_d7858eed03.npz
train,00227405,00399866,false,false,data/cache/features/pretrain/00227405_c294fdc33d.npz,data/cache/features/finetune/train/00399866_26a81ec2c8.npz
train,00400140,00400180,false,true,data/cache/features/pretrain/00400140_8a255f65a5.npz,data/cache/features/finetune/train/00400180_1f5f9fb371.npz
train,00024590,00400440,false,false,data/cache/features/pretrain/00024590_151ad4a03c.npz,data/cache/features/finetune/train/00400440_0c9d9987eb.npz
train,00404401,00404457,false,false,data/cache/features/pretrain/00404401_03f94bd0ad.npz,data/cache/features/finetune/train/00404457_e3309d0a35.npz
train,00009042,00420328,false,false,data/cache/features/pretrain/00009042_965e159798.npz,data/cache/features/finetune/train/00420328_2839affd10.npz
train,00282797,00426371,false,false,data/cache/features/pretrain/00282797_d1b0dc9892.npz,data/cache/features/finetune/train/00426371_93a4206c02.npz
train,00433109,00433110,false,false,data/cache/features/pretrain/00433109_fe077b4d0f.npz,data/cache/features/finetune/train/00433110_4e56efac99.npz
train,00007769,00443822,false,true,data/cache/features/pretrain/00007769_a13e37dd56.npz,data/cache/features/finetune/train/00443822_dbfc489ffb.npz
train,00009516,00445528,false,false,data/cache/features/pretrain/00009516_7cbc23e5aa.npz,data/cache/features/finetune/train/00445528_1a53e789ce.npz
train,00046122,00448637,false,false,data/cache/features/pretrain/00046122_a4941b9dc4.npz,data/cache/features/finetune/train/00448637_e395ef71b3.npz
train,00530039,00457875,false,true,data/cache/features/pretrain/00530039_6e409cd68f.npz,data/cache/features/finetune/train/00457875_854362d0b3.npz
train,00530044,00457882,false,true,data/cache/features/pretrain/00530044_aa08ab4b44.npz,data/cache/features/finetune/train/00457882_b4f385bbc1.npz
train,00222179,00459935,false,true,data/cache/features/pretrain/00222179_6cc09890af.npz,data/cache/features/finetune/train/00459935_dc88a5ba8b.npz
train,00134363,00463826,false,false,data/cache/features/pretrain/00134363_e4c7c1b70a.npz,data/cache/features/finetune/train/00463826_a96f0af256.npz
train,00046229,00464983,false,false,data/cache/features/pretrain/00046229_1d77629331.npz,data/cache/features/finetune/train/00464983_b8beef142b.npz
train,00110978,00467242,false,false,data/cache/features/pretrain/00110978_b37ad12a67.npz,data/cache/features/finetune/train/00467242_a700df05fc.npz
train,00423851,00482052,false,true,data/cache/features/pretrain/00423851_34c434e92a.npz,data/cache/features/finetune/train/00482052_f0ffcce3c5.npz
val,00005268,00005530,false,false,data/cache/features/pretrain/00005268_19169953d1.npz,data/cache/features/finetune/val/00005530_405a61a8b0.npz
val,00006272,00022504,false,false,data/cache/features/pretrain/00006272_1c81625f4f.npz,data/cache/features/finetune/val/00022504_b9ac2aaf99.npz
val,00038780,00040296,false,false,data/cache/features/pretrain/00038780_90cf1df6e7.npz,data/cache/features/finetune/val/00040296_9386567333.npz
val,00053793,00064967,false,true,data/cache/features/pretrain/00053793_6bfec0dda8.npz,data/cache/features/finetune/val/00064967_89b556d337.npz
val,00096766,00096766,true,false,data/cache/features/pretrain/00096766_4966534271.npz,data/cache/features/finetune/val/00096766_4966534271.npz
val,00105173,00105173,true,false,data/cache/features/pretrain/00105173_49c7d0e74d.npz,data/cache/features/finetune/val/00105173_49c7d0e74d.npz
val,00069535,00106368,false,false,data/cache/features/pretrain/00069535_516c901c87.npz,data/cache/features/finetune/val/00106368_fc75ee78c2.npz
val,00111164,00111164,true,false,data/cache/features/pretrain/00111164_7b4f1da4a7.npz,data/cache/features/finetune/val/00111164_7b4f1da4a7.npz
val,00118776,00118776,true,false,data/cache/features/pretrain/00118776_f5b0c6577e.npz,data/cache/features/finetune/val/00118776_f5b0c6577e.npz
val,00282826,00283046,false,true,data/cache/features/pretrain/00282826_25d7bb7ca2.npz,data/cache/features/finetune/val/00283046_8c6f128849.npz
val,00295601,00296318,false,true,data/cache/features/pretrain/00295601_b5baf698ee.npz,data/cache/features/finetune/val/00296318_28f0abce4a.npz
val,00294593,00298969,false,false,data/cache/features/pretrain/00294593_76ea9f1cde.npz,data/cache/features/finetune/val/00298969_5de4a79e34.npz
val,00327473,00327474,false,false,data/cache/features/pretrain/00327473_559310b622.npz,data/cache/features/finetune/val/00327474_e45f821de5.npz
val,00052023,00339599,false,false,data/cache/features/pretrain/00052023_c7a62a6d24.npz,data/cache/features/finetune/val/00339599_be8a1f894d.npz
val,00211644,00351264,false,false,data/cache/features/pretrain/00211644_fe04fe9bc9.npz,data/cache/features/finetune/val/00351264_ae1b529878.npz
val,00077496,00438220,false,false,data/cache/features/pretrain/00077496_7bca277c60.npz,data/cache/features/finetune/val/00438220_c253a3c10a.npz
val,00530038,00457874,false,true,data/cache/features/pretrain/00530038_f5a9f1758d.npz,data/cache/features/finetune/val/00457874_3736098f03.npz
test,00009943,00032365,false,false,data/cache/features/pretrain/00009943_9d8c0465d9.npz,data/cache/features/finetune/val/00032365_3c81257a9c.npz
test,00095378,00095615,false,false,data/cache/features/pretrain/00095378_89837538bb.npz,data/cache/features/finetune/val/00095615_e5502a1bad.npz
test,00095550,00096757,false,false,data/cache/features/pretrain/00095550_67db103999.npz,data/cache/features/finetune/val/00096757_03a480efe8.npz
test,00122483,00122483,true,true,data/cache/features/pretrain/00122483_4c25bfea39.npz,data/cache/features/finetune/val/00122483_4c25bfea39.npz
test,00282835,00283257,false,false,data/cache/features/pretrain/00282835_9ea8b4fd16.npz,data/cache/features/finetune/val/00283257_c28332a3c6.npz
test,00243358,00292828,false,false,data/cache/features/pretrain/00243358_e5e45ec972.npz,data/cache/features/finetune/val/00292828_8f3baaa3a3.npz
test,00317028,00317029,false,true,data/cache/features/pretrain/00317028_551685aad8.npz,data/cache/features/finetune/val/00317029_f859f6fe46.npz
test,00319594,00332012,false,true,data/cache/features/pretrain/00319594_a160ac7e72.npz,data/cache/features/finetune/val/00332012_82802b1f2f.npz
test,00332296,00340805,false,true,data/cache/features/pretrain/00332296_ed9c04aa79.npz,data/cache/features/finetune/val/00340805_e9a1d38c8d.npz
test,00001112,00394035,false,true,data/cache/features/pretrain/00001112_720acd38f5.npz,data/cache/features/finetune/val/00394035_f95f7ece65.npz
